landmark;nama;harga;luas;Kasur;Kipas Angin;Guling;Bantal;Cermin;Cleaning service;AC;Fasilitas kamar;Meja;Ventilasi;Dispenser;Wastafel;TV Kabel;Kulkas;Dapur Pribadi;Kursi;Jendela;Lemari Baju;TV;Meja Rias;Shower;Fasilitas kamar mandi;Air panas;Bak mandi;K. Mandi Luar;Kloset Duduk;Ember mandi;Kloset Jongkok;K. Mandi Dalam;Rp20.000/hari;Rp499.999;Tamu menginap dikenakan biaya;Rp100.000;Deposit;Tipe ini bisa diisi maks. 4 orang/ kamar;Tipe ini bisa diisi maks. 3 orang/ kamar;Rp100.000/3 hari;Wajib sertakan surat nikah saat pengajuan sewa;Rp300.000/3 hari;Tamu boleh menginap;Dibebankan jika penyewa terlambat bayar tagihan sewa.;Tipe ini bisa diisi maks. 2 orang/ kamar;Tidak untuk pasutri;Wajib sertakan kartu keluarga saat pengajuan sewa;Rp50.000/10 hari;Boleh bawa anak;Rp9.998/hari;Rp300.000;Denda keterlambatan;Tambah biaya untuk alat elektronik;Tipe ini bisa diisi maks. 1 orang/ kamar;Rp500.000;Rp50.000/3 hari;Boleh pasutri;Rp50.000/2 hari;Tidak boleh bawa anak;Agar pemilik dapat menghitung biayanya, mohon tulis detail barang elektronik saat pengajuan sewa.;Peraturan khusus tipe kamar ini;Rp100.000/2 hari;Dikembalikan di akhir periode sewa jika tidak ditemukan kerusakan pada kamar.;Rp10.000/4 hari;Rp50.000/7 hari;Rp200.000;Rp50.000/hari;R. Jemur;Kartu Akses;Balcon;Locker;R. Tamu;Laundry;Joglo;R. Santai;Pengurus Kos;Jual Makanan;Mesin Cuci;Penjaga Kos;Taman;CCTV;R. Cuci;Jemuran;Fasilitas umum;Dapur;Gazebo;R. Keluarga;WiFi;R. Makan;Mushola;Parkir Sepeda;Parkir Mobil;Fasilitas parkir;Parkir Motor;gender_1
['Rumah Makan & Seafood 99', '564 m', 'Masjid Al - Aman', '146 m'];['Kost Amanah Tipe B Godean Sleman 147AM'];700000;13.5;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;True;True;True;True;True;Kos Putri
['Masjid Al-Ghofur', '3.4 km', 'Universitas Muhammadiyah Yogyakarta', '727 m', 'RS Khusus Ibu dan Anak Kahyangan', '2.2 km'];['Kost DheeHar Kasihan Bantul 435DH'];3000000;20.0;True;False;False;False;False;True;True;True;True;True;True;True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;True;True;True;Kos Campur
['Rumah Makan Ayam Bakar Selaras', '595 m', 'Circle K Anggajaya', '1.9 km', 'Masjid Muslim United', '1.9 km', 'Bank Syariah Indonesia KCP Yogyakarta Kaliurang', '3.1 km', 'Universitas Pembangunan Nasional Veteran Yogyakarta', '985 m', 'RS Umum Condong Catur', '1.7 km'];['Kost Singgahsini Ibu Sri Tipe C Condong Catur Yogyakarta VSV5W638'];1953000;12.0;True;False;False;True;True;False;True;True;True;True;False;False;False;False;False;True;True;True;False;False;True;True;True;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;True;True;True;Kos Campur
['Masjid Al-Ghofur', '3.4 km', 'Bank Jogja', '965 m', 'Universitas Muhammadiyah Yogyakarta', '2.8 km', 'RS Khusus Ibu dan Anak Fajar', '889 m'];['Kost Daily Noon Home Tipe A Kasihan Bantul 2M7VY01A'];750000;9.0;True;True;False;True;True;True;False;True;False;True;False;True;False;True;False;False;True;True;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;False;False;True;True;False;True;True;True;True;Kos Putri
['Rumah Makan Rata-Rata', '2.8 km', 'Circle K Jombor', '1.5 km', 'Masjid Nogotirto (Mosque)', '2.8 km', 'Bank Mandiri Sendangadi', '1.7 km', 'Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta', '3.4 km', 'RS UGM', '201 m'];['Kost Arfan Gamping Sleman 863742AG'];600000;15.0;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;Kos Putri
['Rumah Makan Sabar Menanti', '3.2 km', 'RS Umum Dharma', '3.6 km'];['Kost Puri Kelana Tipe A Berbah Sleman 480FV'];400000;9.0;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Kos Campur
['Rumah Makan Selera Kuring', '2.6 km', 'Masjid Mataram City', '1.3 km', 'Sekolah Tinggi Ilmu Manajemen Ykpn', '1.3 km', 'RSU Puri Husada Yogyakarta', '3.3 km'];['Kost Halif Guest House Syariah Near Tipe A Ngaglik Sleman 647931HG'];1500000;15.0;True;False;False;True;True;False;True;True;True;True;True;True;False;True;False;True;True;True;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;True;False;True;True;False;True;True;False;False;True;False;False;True;True;True;True;Kos Putri
['Rumah Makan Kawanua', '452 m', 'Circle K Sudirman Tugu (Korner)', '686 m', 'Masjid As Salam', '1.3 km', 'Universitas Janabadra', '562 m'];['Kost Muslimah Nuli Jetis Yogyakarta 374689MN'];850000;9.0;True;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;True;True;False;False;True;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;True;True;False;False;True;False;False;False;False;True;True;Kos Putri
['Rumah Makan Bale Roso Godean', '286 m', 'Masjid Al - Aman', '3.4 km'];['Kost Madina Godean Sleman 498MG'];750000;9.0;True;False;False;False;False;False;False;True;True;False;True;False;False;True;False;True;True;True;True;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;True;False;False;True;True;Kos Putri
['Rumah Makan Sari Rasa', '2.4 km', 'Circle K Janti Yogya Expo Center', '800 m', 'Sekolah Tinggi Ilmu Kesehatan Surya Global', '4.1 km', 'RSPAU Dr. Suhardi Harjolukito', '290 m'];['Kost Ibu Feni Tipe C Banguntapan Bantul VU307XB6'];600000;12.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Kos Putri
